Date,beta,gamma_c,delta_c,eta,mu,omega
2020-05-01,0.7082857,0.03208842,0.06922562,0.17291796,0.0072119175,0.4423145
2020-05-02,0.71442163,0.02882716,0.064711496,0.17471401,0.0065169516,0.4465958
2020-05-03,0.72022045,0.026003404,0.060633983,0.1763343,0.005911461,0.45042345
2020-05-04,0.7256846,0.023557913,0.056957137,0.17779362,0.005383975,0.45384112
2020-05-05,0.7308196,0.021438403,0.053645585,0.17910643,0.0049242405,0.45689034
2020-05-06,0.73563373,0.01959916,0.05066543,0.18028656,0.0045231855,0.45960996
2020-05-07,0.74013746,0.018000545,0.047984544,0.18134707,0.004172863,0.46203575
2020-05-08,0.7443429,0.016608385,0.045573067,0.18230008,0.0038663582,0.4642003
2020-05-09,0.7482638,0.015393362,0.04340344,0.18315671,0.0035976823,0.46613306
2020-05-10,0.75191396,0.014330453,0.04145048,0.1839271,0.0033616733,0.46786058
2020-05-11,0.75530845,0.013398254,0.03969132,0.18462048,0.0031538995,0.4694062
2020-05-12,0.7584621,0.012578602,0.03810543,0.18524508,0.002970553,0.470791
2020-05-13,0.76138955,0.0118559785,0.036674313,0.18580835,0.0028083748,0.47203338
2020-05-14,0.76410556,0.011217205,0.03538144,0.18631682,0.0026645686,0.47314957
2020-05-15,0.7666242,0.010651039,0.034212045,0.18677644,0.002536739,0.47415408
2020-05-16,0.7689591,0.010147899,0.033153057,0.18719244,0.0024228366,0.47505942
2020-05-17,0.7711231,0.009699623,0.03219281,0.18756944,0.0023210975,0.47587675
2020-05-18,0.7731286,0.009299205,0.031320944,0.18791156,0.0022300072,0.47661576
2020-05-19,0.77498716,0.008940634,0.030528234,0.18822248,0.0021482636,0.47728515
2020-05-20,0.77670974,0.008618779,0.029806575,0.1885054,0.002074739,0.47789237
2020-05-21,0.7783064,0.0083292145,0.029148694,0.18876322,0.0020084688,0.47844404
2020-05-22,0.7797867,0.008068104,0.028548192,0.18899845,0.0019486083,0.47894612
2020-05-23,0.7811595,0.007832144,0.027999327,0.18921338,0.001894425,0.47940364
2020-05-24,0.7824329,0.007618495,0.027497066,0.18941,0.0018452905,0.47982123
2020-05-25,0.7836145,0.00742464,0.027036838,0.1895901,0.0018006482,0.4802029
2020-05-26,0.7847113,0.0072484366,0.026614655,0.18975528,0.0017600142,0.48055223
2020-05-27,0.78572977,0.0070879715,0.02622693,0.18990691,0.0017229693,0.48087236
2020-05-28,0.78667575,0.0069415965,0.025870424,0.19004634,0.0016891372,0.48116612
2020-05-29,0.7875549,0.0068078656,0.025542285,0.19017462,0.0016581931,0.48143598
2020-05-30,0.7883722,0.006685473,0.025239928,0.1902928,0.0016298479,0.48168424
2020-05-31,0.78913236,0.006573315,0.024961056,0.19040176,0.0016038491,0.4819128
2020-06-01,0.78983957,0.0064703883,0.024703607,0.19050235,0.0015799681,0.48212352
2020-06-02,0.7904978,0.006375805,0.024465708,0.19059528,0.0015580071,0.48231795
2020-06-03,0.7911107,0.0062887752,0.02424568,0.1906812,0.0015377856,0.48249757
2020-06-04,0.79168165,0.0062086144,0.024042035,0.19076073,0.0015191461,0.48266357
2020-06-05,0.7922137,0.006134681,0.023853369,0.1908344,0.0015019453,0.48281726
2020-06-06,0.7927095,0.0060664318,0.023678467,0.1909027,0.0014860558,0.4829595
2020-06-07,0.79317206,0.006003361,0.023516199,0.19096604,0.0014713655,0.48309135
2020-06-08,0.7936034,0.005945025,0.023365559,0.19102482,0.0014577688,0.4832137
2020-06-09,0.7940061,0.0058910116,0.023225615,0.19107944,0.001445175,0.48332724
2020-06-10,0.7943818,0.0058409665,0.023095535,0.1911302,0.0014335016,0.48343262
2020-06-11,0.7947327,0.005794558,0.022974554,0.19117741,0.0014226704,0.4835306
2020-06-12,0.79506046,0.0057514957,0.022861943,0.19122133,0.001412616,0.48362175
2020-06-13,0.79536664,0.0057114954,0.022757107,0.19126225,0.0014032752,0.48370653
2020-06-14,0.79565287,0.0056743287,0.022659436,0.19130035,0.0013945904,0.48378548
2020-06-15,0.79592043,0.005639765,0.022568418,0.19133584,0.0013865128,0.48385903
2020-06-16,0.7961706,0.0056076036,0.02248355,0.19136895,0.0013789949,0.48392755
2020-06-17,0.79640454,0.0055776685,0.022404365,0.19139981,0.0013719931,0.48399147
2020-06-18,0.7966234,0.0055497815,0.022330489,0.19142865,0.001365471,0.48405108
2020-06-19,0.79682827,0.005523795,0.022261519,0.19145553,0.0013593911,0.48410666
2020-06-20,0.79701984,0.0054995627,0.022197101,0.19148067,0.001353721,0.48415858
2020-06-21,0.79719937,0.005476962,0.022136923,0.19150412,0.0013484308,0.48420703
2020-06-22,0.7973674,0.0054558734,0.022080688,0.19152604,0.0013434927,0.4842523
2020-06-23,0.79752463,0.0054361876,0.02202813,0.19154656,0.0013388823,0.48429465
2020-06-24,0.79767203,0.005417801,0.021978986,0.19156572,0.0013345771,0.48433417
2020-06-25,0.79781,0.0054006274,0.02193301,0.19158363,0.0013305532,0.48437116
2020-06-26,0.7979393,0.0053845746,0.021890007,0.1916004,0.0013267931,0.4844058
2020-06-27,0.79806054,0.0053695794,0.021849763,0.19161609,0.0013232786,0.48443812
2020-06-28,0.7981741,0.0053555453,0.021812119,0.19163077,0.0013199901,0.4844684
2020-06-29,0.7982805,0.005342424,0.02177685,0.19164452,0.0013169155,0.48449677
2020-06-30,0.79838026,0.005330157,0.021743834,0.1916574,0.0013140383,0.4845233
2020-07-01,0.7984738,0.0053186677,0.021712918,0.19166943,0.0013113463,0.4845481
2020-07-02,0.7985615,0.005307919,0.021683969,0.19168071,0.001308826,0.48457137
2020-07-03,0.7986437,0.0052978545,0.021656832,0.19169128,0.0013064661,0.48459315
2020-07-04,0.7987209,0.0052884296,0.021631407,0.19170122,0.0013042551,0.4846136
2020-07-05,0.79879314,0.0052796067,0.021607587,0.19171047,0.0013021856,0.4846327
2020-07-06,0.7988609,0.005271341,0.02158527,0.19171919,0.0013002468,0.4846506
2020-07-07,0.7989246,0.0052635917,0.02156434,0.19172734,0.00129843,0.48466742
2020-07-08,0.7989843,0.00525634,0.021544725,0.191735,0.0012967284,0.48468316
2020-07-09,0.7990403,0.0052495343,0.021526316,0.19174217,0.0012951329,0.48469794
2020-07-10,0.7990929,0.005243165,0.021509083,0.19174889,0.0012936381,0.48471177
2020-07-11,0.7991421,0.0052371863,0.0214929,0.19175518,0.0012922352,0.4847247
2020-07-12,0.79918844,0.00523159,0.021477738,0.19176109,0.0012909222,0.48473686
2020-07-13,0.7992318,0.0052263346,0.021463506,0.19176663,0.0012896892,0.4847483
2020-07-14,0.7992726,0.0052214097,0.021450162,0.19177184,0.001288534,0.484759
2020-07-15,0.79931086,0.005216792,0.021437641,0.19177672,0.0012874504,0.48476908
2020-07-16,0.79934675,0.005212464,0.021425897,0.1917813,0.0012864334,0.4847785
2020-07-17,0.7993804,0.0052083973,0.021414867,0.1917856,0.0012854802,0.4847873
2020-07-18,0.799412,0.005204587,0.02140453,0.19178961,0.0012845856,0.48479557
2020-07-19,0.7994417,0.0052010147,0.021394834,0.19179341,0.001283747,0.48480338
2020-07-20,0.7994696,0.005197658,0.02138573,0.19179696,0.0012829594,0.48481065
2020-07-21,0.7994957,0.005194515,0.021377178,0.19180028,0.001282221,0.48481753
2020-07-22,0.79952025,0.005191562,0.021369165,0.1918034,0.0012815284,0.48482394
2020-07-23,0.7995433,0.00518879,0.02136164,0.19180635,0.0012808782,0.48483
2020-07-24,0.79956496,0.00518619,0.021354565,0.19180909,0.0012802669,0.48483565
2020-07-25,0.7995853,0.005183746,0.021347936,0.19181167,0.0012796933,0.484841
2020-07-26,0.79960436,0.005181459,0.021341708,0.19181411,0.0012791567,0.48484597
2020-07-27,0.7996223,0.005179308,0.021335863,0.19181637,0.0012786515,0.48485062
2020-07-28,0.79963917,0.0051772916,0.02133038,0.19181852,0.0012781786,0.48485506
2020-07-29,0.79965484,0.0051753987,0.021325242,0.19182053,0.0012777345,0.48485914
2020-07-30,0.7996697,0.005173616,0.021320393,0.19182241,0.001277316,0.484863
2020-07-31,0.79968363,0.0051719537,0.021315863,0.19182417,0.0012769246,0.48486665
2020-08-01,0.7996967,0.005170387,0.021311592,0.19182584,0.0012765563,0.48487008
2020-08-02,0.799709,0.005168916,0.021307604,0.1918274,0.0012762108,0.48487327
2020-08-03,0.7997205,0.005167533,0.021303838,0.19182886,0.001275887,0.48487628
2020-08-04,0.7997314,0.005166238,0.021300308,0.19183022,0.001275583,0.48487914
2020-08-05,0.79974145,0.005165022,0.021297,0.19183151,0.0012752973,0.4848818
2020-08-06,0.799751,0.0051638763,0.021293892,0.19183275,0.0012750285,0.48488423
2020-08-07,0.79976,0.0051628044,0.021290975,0.19183387,0.0012747763,0.4848866
2020-08-08,0.7997684,0.005161793,0.02128823,0.19183494,0.0012745404,0.4848888
2020-08-09,0.7997763,0.005160851,0.021285659,0.19183595,0.0012743184,0.48489085
2020-08-10,0.79978377,0.005159962,0.021283234,0.1918369,0.0012741097,0.48489282
2020-08-11,0.79979074,0.0051591317,0.021280965,0.19183777,0.0012739137,0.4848946
2020-08-12,0.79979724,0.005158345,0.021278828,0.1918386,0.0012737289,0.48489636
2020-08-13,0.79980344,0.0051576127,0.021276832,0.19183938,0.0012735574,0.4848979
2020-08-14,0.7998092,0.005156919,0.021274948,0.19184011,0.0012733956,0.48489943
2020-08-15,0.7998146,0.0051562693,0.021273185,0.1918408,0.0012732433,0.48490083
2020-08-16,0.7998197,0.0051556653,0.021271538,0.19184145,0.0012731,0.48490217
2020-08-17,0.7998245,0.0051550916,0.02126998,0.19184205,0.0012729651,0.48490342
2020-08-18,0.79982895,0.0051545566,0.021268519,0.19184262,0.0012728394,0.4849046
2020-08-19,0.7998332,0.005154048,0.021267135,0.19184317,0.0012727214,0.48490572
2020-08-20,0.7998372,0.0051535787,0.021265842,0.19184367,0.0012726106,0.48490673
2020-08-21,0.79984087,0.005153131,0.02126464,0.19184414,0.0012725056,0.4849077
2020-08-22,0.7998444,0.0051527102,0.021263499,0.19184457,0.0012724068,0.48490864
2020-08-23,0.79984766,0.005152321,0.021262426,0.19184498,0.0012723146,0.48490947
2020-08-24,0.7998507,0.0051519517,0.021261437,0.19184539,0.0012722289,0.48491025
2020-08-25,0.7998537,0.005151609,0.021260481,0.19184576,0.0012721474,0.48491105
2020-08-26,0.79985636,0.005151283,0.0212596,0.1918461,0.0012720715,0.4849117
2020-08-27,0.7998589,0.0051509766,0.021258766,0.19184642,0.0012719996,0.4849124
2020-08-28,0.7998613,0.0051506925,0.021257991,0.19184671,0.0012719331,0.484913
2020-08-29,0.7998635,0.0051504225,0.021257263,0.19184701,0.0012718685,0.48491362
2020-08-30,0.79986566,0.00515017,0.02125657,0.1918473,0.0012718097,0.48491418
2020-08-31,0.79986763,0.005149932,0.021255914,0.19184753,0.0012717542,0.4849147
2020-09-01,0.7998695,0.005149708,0.021255322,0.19184777,0.001271702,0.4849152
2020-09-02,0.79987127,0.0051494995,0.021254746,0.191848,0.0012716524,0.48491564
2020-09-03,0.79987293,0.0051493025,0.021254199,0.19184819,0.0012716056,0.48491603
2020-09-04,0.7998745,0.0051491153,0.021253701,0.19184841,0.0012715625,0.48491648
2020-09-05,0.7998759,0.0051489426,0.021253224,0.19184858,0.0012715218,0.4849168
2020-09-06,0.7998772,0.005148782,0.0212528,0.19184875,0.0012714848,0.4849172
2020-09-07,0.7998786,0.005148627,0.021252368,0.19184892,0.0012714488,0.48491755
2020-09-08,0.7998797,0.005148483,0.021251973,0.19184907,0.001271414,0.48491782
2020-09-09,0.7998809,0.0051483475,0.0212516,0.19184922,0.0012713823,0.48491815
2020-09-10,0.799882,0.0051482236,0.021251261,0.19184935,0.001271353,0.4849184
2020-09-11,0.799883,0.0051481044,0.02125095,0.19184946,0.0012713248,0.48491865
2020-09-12,0.7998839,0.0051479926,0.021250632,0.19184959,0.0012712985,0.4849189
2020-09-13,0.79988486,0.005147886,0.021250349,0.1918497,0.0012712729,0.48491916
2020-09-14,0.7998856,0.0051477915,0.021250086,0.19184981,0.0012712512,0.48491934
2020-09-15,0.7998864,0.005147696,0.02124983,0.1918499,0.0012712285,0.48491955
2020-09-16,0.7998871,0.0051476066,0.02124959,0.19185,0.0012712082,0.48491973
2020-09-17,0.7998878,0.005147524,0.021249365,0.19185008,0.001271189,0.48491997
2020-09-18,0.7998885,0.005147451,0.021249156,0.19185017,0.001271171,0.4849201
2020-09-19,0.799889,0.0051473756,0.021248955,0.19185024,0.0012711537,0.48492023
2020-09-20,0.7998896,0.0051473123,0.021248773,0.19185032,0.0012711382,0.4849204
2020-09-21,0.79989016,0.005147242,0.021248598,0.19185038,0.0012711232,0.48492056
2020-09-22,0.7998907,0.0051471866,0.021248441,0.19185045,0.0012711089,0.48492068
2020-09-23,0.7998911,0.005147128,0.021248281,0.19185051,0.0012710956,0.4849208
2020-09-24,0.7998916,0.0051470767,0.021248145,0.19185056,0.0012710836,0.48492092
2020-09-25,0.79989195,0.0051470282,0.021248005,0.1918506,0.0012710717,0.484921
2020-09-26,0.7998924,0.0051469775,0.021247875,0.19185066,0.0012710597,0.48492113
2020-09-27,0.7998927,0.0051469356,0.021247763,0.1918507,0.0012710514,0.4849212
2020-09-28,0.799893,0.005146897,0.021247657,0.19185077,0.0012710418,0.4849213
2020-09-29,0.7998934,0.0051468583,0.021247553,0.1918508,0.0012710327,0.48492143
2020-09-30,0.7998938,0.005146822,0.021247448,0.19185083,0.0012710233,0.48492146
2020-10-01,0.799894,0.0051467875,0.02124736,0.19185087,0.0012710155,0.48492151
2020-10-02,0.7998942,0.005146754,0.021247268,0.19185092,0.0012710089,0.48492163
2020-10-03,0.7998945,0.005146727,0.02124718,0.19185093,0.0012710011,0.4849217
2020-10-04,0.7998947,0.005146698,0.021247113,0.19185098,0.0012709945,0.48492175
2020-10-05,0.7998949,0.0051466734,0.021247042,0.191851,0.0012709879,0.4849218
2020-10-06,0.79989517,0.0051466445,0.021246977,0.19185102,0.0012709824,0.48492187
2020-10-07,0.79989535,0.0051466255,0.021246905,0.19185105,0.0012709765,0.48492193
2020-10-08,0.79989564,0.005146601,0.021246841,0.19185106,0.0012709717,0.48492196
2020-10-09,0.7998957,0.005146581,0.02124679,0.19185108,0.001270967,0.48492196
2020-10-10,0.7998958,0.0051465617,0.021246735,0.19185111,0.0012709622,0.48492202
2020-10-11,0.79989606,0.005146545,0.021246692,0.19185112,0.0012709586,0.48492208
2020-10-12,0.7998962,0.005146528,0.021246642,0.19185115,0.0012709544,0.48492208
2020-10-13,0.79989636,0.0051465086,0.021246599,0.19185118,0.0012709496,0.48492214
2020-10-14,0.7998964,0.0051464965,0.02124655,0.19185118,0.0012709466,0.4849222
2020-10-15,0.7998966,0.0051464816,0.021246517,0.19185118,0.0012709437,0.4849222
2020-10-16,0.7998967,0.005146465,0.02124649,0.19185121,0.00127094,0.48492226
2020-10-17,0.7998968,0.0051464527,0.021246439,0.19185121,0.0012709376,0.48492226
2020-10-18,0.7998969,0.005146443,0.02124642,0.19185124,0.0012709347,0.48492232
2020-10-19,0.79989696,0.005146436,0.021246396,0.19185124,0.0012709323,0.48492232
2020-10-20,0.7998971,0.005146424,0.021246357,0.19185126,0.0012709294,0.48492238
2020-10-21,0.7998972,0.0051464117,0.021246336,0.19185126,0.0012709281,0.48492238
2020-10-22,0.79989725,0.005146402,0.021246308,0.19185129,0.001270925,0.48492238
2020-10-23,0.7998973,0.005146392,0.021246288,0.19185129,0.0012709227,0.4849224
2020-10-24,0.7998973,0.0051463894,0.02124626,0.19185129,0.0012709221,0.4849224
2020-10-25,0.7998974,0.0051463824,0.021246241,0.1918513,0.0012709197,0.4849224
2020-10-26,0.7998975,0.0051463726,0.021246225,0.1918513,0.0012709185,0.4849224
2020-10-27,0.79989755,0.005146363,0.021246206,0.1918513,0.0012709162,0.48492247
2020-10-28,0.79989755,0.00514636,0.021246199,0.19185132,0.0012709156,0.48492247
2020-10-29,0.7998977,0.005146353,0.021246161,0.19185132,0.0012709138,0.48492247
2020-10-30,0.7998977,0.0051463456,0.021246148,0.19185135,0.0012709125,0.48492253
2020-10-31,0.7998977,0.0051463433,0.021246143,0.19185135,0.0012709107,0.48492253
2020-11-01,0.79989785,0.0051463386,0.02124613,0.19185135,0.0012709101,0.48492253
2020-11-02,0.79989785,0.0051463335,0.021246113,0.19185135,0.0012709096,0.48492253
2020-11-03,0.79989785,0.005146331,0.02124611,0.19185135,0.0012709078,0.48492253
2020-11-04,0.7998979,0.0051463237,0.021246094,0.19185136,0.0012709078,0.48492253
2020-11-05,0.7998979,0.005146319,0.02124608,0.19185136,0.001270906,0.4849226
2020-11-06,0.7998979,0.0051463167,0.02124607,0.19185136,0.0012709047,0.4849226
2020-11-07,0.7998979,0.0051463116,0.02124606,0.19185136,0.0012709041,0.4849226
2020-11-08,0.79989797,0.0051463093,0.021246051,0.19185136,0.0012709035,0.4849226
2020-11-09,0.7998981,0.005146307,0.021246046,0.19185136,0.001270903,0.4849226
2020-11-10,0.7998981,0.0051463046,0.02124604,0.19185136,0.0012709018,0.4849226
2020-11-11,0.7998981,0.005146302,0.021246037,0.19185139,0.0012709018,0.4849226
2020-11-12,0.7998981,0.005146302,0.021246022,0.19185139,0.0012709012,0.4849226
2020-11-13,0.7998981,0.005146295,0.021246016,0.19185139,0.0012709012,0.4849226
2020-11-14,0.7998981,0.005146295,0.021246016,0.19185139,0.0012709007,0.4849226
2020-11-15,0.7998982,0.0051462925,0.021246012,0.19185139,0.0012708993,0.48492265
2020-11-16,0.7998982,0.0051462925,0.021246007,0.19185139,0.0012708987,0.48492265
2020-11-17,0.7998982,0.0051462925,0.021246007,0.19185139,0.0012708987,0.48492265
2020-11-18,0.7998982,0.0051462897,0.021246001,0.19185139,0.001270898,0.48492265
